Time,Close,High,Low,Open,Volume,CCI
2022-12-06 12:50:00,0.00059804,0.00059804,0.00059782,0.00059782,0.0608,
2022-12-06 12:55:00,0.00059804,0.00059804,0.00059804,0.00059804,0.0,
2022-12-06 13:00:00,0.00059745,0.0005975,0.00059745,0.0005975,4.3552,
2022-12-06 13:05:00,0.0005971,0.0005971,0.0005971,0.0005971,0.3441,
2022-12-06 13:10:00,0.00059711,0.00059711,0.00059711,0.00059711,0.0541,
2022-12-06 13:15:00,0.00059797,0.00059797,0.00059702,0.0005971,0.2581,
2022-12-06 13:20:00,0.00059792,0.00059873,0.00059785,0.00059785,15.9797,
2022-12-06 13:25:00,0.0005977,0.0005977,0.00059762,0.00059762,0.1326,
2022-12-06 13:30:00,0.00059789,0.00059789,0.00059776,0.00059776,0.6208,
2022-12-06 13:35:00,0.00059832,0.00059832,0.00059832,0.00059832,2.0962,
2022-12-06 13:40:00,0.00059825,0.00059825,0.00059783,0.00059785,0.3594,
2022-12-06 13:45:00,0.00059825,0.00059825,0.00059825,0.00059825,0.0,
2022-12-06 13:50:00,0.00059743,0.00059743,0.00059743,0.00059743,1.68,
2022-12-06 13:55:00,0.00059743,0.00059743,0.00059743,0.00059743,0.0,
2022-12-06 14:00:00,0.00059652,0.00059714,0.00059652,0.00059701,9.5888,
2022-12-06 14:05:00,0.00059642,0.00059652,0.00059642,0.00059652,1.3855,
2022-12-06 14:10:00,0.00059642,0.00059642,0.00059642,0.00059642,0.0,
2022-12-06 14:15:00,0.00059727,0.00059727,0.00059727,0.00059727,0.0978,
2022-12-06 14:20:00,0.00059686,0.00059721,0.00059685,0.00059721,51.088,
2022-12-06 14:25:00,0.00059637,0.00059692,0.00059637,0.00059684,0.0759,-118.9716312056695
2022-12-06 14:30:00,0.00059676,0.000597,0.00059676,0.00059678,0.1045,-72.42096050761296
2022-12-06 14:35:00,0.00059656,0.00059656,0.00059613,0.00059613,0.0596,-113.68309485955959
2022-12-06 14:40:00,0.0005954,0.00059655,0.0005954,0.00059655,5.5928,-163.42015855039082
2022-12-06 14:45:00,0.0005948,0.00059519,0.0005948,0.00059519,69.5247,-209.2118893935826
2022-12-06 14:50:00,0.00059595,0.00059598,0.0005959,0.00059593,33.0883,-98.49253621590049
2022-12-06 14:55:00,0.00059502,0.00059564,0.00059502,0.00059564,0.0544,-141.06738100145094
2022-12-06 15:00:00,0.00059493,0.00059555,0.00059441,0.00059519,28.7711,-144.652584030832
2022-12-06 15:05:00,0.00059284,0.00059485,0.00059284,0.00059485,122.9066,-214.7628238872378
2022-12-06 15:10:00,0.00059307,0.00059307,0.00059281,0.0005929,2.3618,-203.6134794965503
2022-12-06 15:15:00,0.00059465,0.00059476,0.00059358,0.00059358,33.9291,-105.58525742710013
2022-12-06 15:20:00,0.00059568,0.00059592,0.00059487,0.00059495,2.519,-31.228952333943067
2022-12-06 15:25:00,0.00059545,0.00059588,0.00059545,0.0005956,0.1797,-18.07228915662795
2022-12-06 15:30:00,0.00059545,0.00059549,0.0005953,0.0005953,0.7603,-24.704460363793046
2022-12-06 15:35:00,0.00059401,0.00059463,0.00059401,0.00059426,0.3154,-98.64103020592364
2022-12-06 15:40:00,0.00059463,0.00059468,0.00059428,0.00059449,0.6979,-68.76340243031194
2022-12-06 15:45:00,0.00059494,0.00059496,0.00059494,0.00059496,0.0329,-34.369287020110846
2022-12-06 15:50:00,0.00059407,0.00059493,0.00059407,0.00059493,0.7677,-69.77818292312804
2022-12-06 15:55:00,0.00059427,0.00059476,0.00059391,0.00059476,21.6851,-66.25210519497254
2022-12-06 16:00:00,0.00059442,0.00059489,0.00059404,0.00059404,1.6148,-49.71851477006669
2022-12-06 16:05:00,0.00059464,0.00059464,0.00059427,0.00059447,20.6179,-38.766114180479676
2022-12-06 16:10:00,0.00059444,0.00059465,0.00059444,0.00059456,0.1108,-31.939098451803567
2022-12-06 16:15:00,0.00059445,0.00059445,0.00059361,0.00059377,36.0443,-60.7769600240744
2022-12-06 16:20:00,0.00059424,0.00059466,0.00059402,0.0005944,1.3275,-40.33579033577823
2022-12-06 16:25:00,0.00059462,0.00059474,0.00059462,0.00059474,0.0273,4.8752690895287465
2022-12-06 16:30:00,0.00059484,0.00059493,0.00059471,0.00059493,0.1776,37.86999419619904
2022-12-06 16:35:00,0.00059489,0.00059493,0.00059489,0.00059493,0.15,53.60298944606123
2022-12-06 16:40:00,0.00059337,0.00059408,0.00059337,0.00059408,0.1482,-127.55102040815989
2022-12-06 16:45:00,0.00059377,0.00059387,0.00059357,0.00059372,0.1505,-113.05430991528112
2022-12-06 16:50:00,0.0005931,0.00059359,0.0005931,0.00059359,0.5874,-191.92386831274334
2022-12-06 16:55:00,0.00059246,0.0005929,0.00059246,0.0005929,52.9596,-232.10192440962507
2022-12-06 17:00:00,0.00059291,0.00059291,0.00059211,0.00059243,10.0337,-191.04088169718696
2022-12-06 17:05:00,0.00059276,0.00059306,0.00059266,0.00059266,0.0349,-142.2075461484473
2022-12-06 17:10:00,0.00059182,0.00059248,0.00059182,0.00059248,6.0561,-181.94663589478753
2022-12-06 17:15:00,0.0005915,0.00059187,0.0005915,0.00059179,3.7586,-176.323319027182
2022-12-06 17:20:00,0.00059229,0.00059229,0.0005922,0.0005922,0.038,-109.29165115991049
2022-12-06 17:25:00,0.00059221,0.0005929,0.00059221,0.00059241,0.224,-85.00840581828862
2022-12-06 17:30:00,0.00059265,0.00059267,0.00059212,0.00059219,3.021,-72.99701510181632
2022-12-06 17:35:00,0.0005914,0.00059276,0.0005914,0.00059276,32.6385,-104.00904721515694
2022-12-06 17:40:00,0.0005912,0.00059207,0.0005912,0.00059129,50.7241,-115.1814637895996
2022-12-06 17:45:00,0.00059183,0.00059183,0.00059183,0.00059183,0.0278,-84.50953399786367
2022-12-06 17:50:00,0.00059208,0.00059208,0.00059172,0.00059172,71.6643,-70.12096959661147
2022-12-06 17:55:00,0.00059194,0.00059194,0.00059194,0.00059194,0.07,-66.65825780372408
2022-12-06 18:00:00,0.00059272,0.00059272,0.00059173,0.00059203,0.4273,-29.935626555032727
2022-12-06 18:05:00,0.00059281,0.00059305,0.00059281,0.00059303,0.4031,19.15910286014652
2022-12-06 18:10:00,0.00059077,0.00059118,0.00059077,0.00059118,35.395,-159.36100730566415
2022-12-06 18:15:00,0.00059068,0.00059071,0.00059068,0.00059071,0.0855,-171.82894855799202
2022-12-06 18:20:00,0.00059185,0.00059185,0.00059068,0.00059068,0.0797,-80.21572523418767
2022-12-06 18:25:00,0.00059163,0.00059163,0.00059163,0.00059163,0.01,-54.75653765966789
2022-12-06 18:30:00,0.00059087,0.00059161,0.00059087,0.00059161,4.726,-111.65944203623131
2022-12-06 18:35:00,0.00059068,0.00059068,0.00059068,0.00059068,0.011,-148.25306893294893
2022-12-06 18:40:00,0.00059097,0.00059097,0.00059097,0.00059097,0.0315,-99.27851710047747
2022-12-06 18:45:00,0.00059153,0.00059153,0.00059068,0.00059139,1.2088,-58.18457210862661
2022-12-06 18:50:00,0.00059205,0.00059205,0.00059197,0.00059197,0.0665,42.82618118769174
2022-12-06 18:55:00,0.00059205,0.00059205,0.00059205,0.00059205,0.0,42.51355013549072
2022-12-06 19:00:00,0.00059106,0.00059106,0.00059092,0.00059092,0.0384,-80.05840634125278
2022-12-06 19:05:00,0.00059085,0.00059122,0.00059085,0.00059122,0.0434,-76.99470899471366
2022-12-06 19:10:00,0.00059124,0.00059128,0.00059072,0.00059075,17.6181,-57.522815003222014
2022-12-06 19:15:00,0.00059068,0.00059068,0.00059068,0.00059068,0.04,-99.74126778783973
2022-12-06 19:20:00,0.00059144,0.00059207,0.0005909,0.0005909,11.7608,2.5923525599608492
2022-12-06 19:25:00,0.00059144,0.00059144,0.00059144,0.00059144,0.0,1.279892219615396
2022-12-06 19:30:00,0.00059274,0.00059274,0.00059149,0.00059156,1.2049,113.47517730496155
2022-12-06 19:35:00,0.00059205,0.00059207,0.00059205,0.00059207,42.2172,77.15881303989828
2022-12-06 19:40:00,0.00059243,0.00059243,0.00059199,0.00059199,0.3305,108.10518926508179
2022-12-06 19:45:00,0.0005929,0.0005929,0.0005929,0.0005929,1.4222,187.75756791163062
2022-12-06 19:50:00,0.00059255,0.00059255,0.00059232,0.00059232,0.3645,114.25348481185533
2022-12-06 19:55:00,0.0005931,0.0005931,0.00059303,0.00059303,0.1212,158.60334368990587
2022-12-06 20:00:00,0.00059282,0.00059287,0.00059263,0.00059263,0.1901,108.03742761559579
2022-12-06 20:05:00,0.00059284,0.00059286,0.0005927,0.0005927,61.5638,97.32670925005833
2022-12-06 20:10:00,0.00059277,0.00059279,0.00059264,0.00059271,2.2752,82.517679014658
2022-12-06 20:15:00,0.00059272,0.00059296,0.00059272,0.00059272,6.4121,82.59731763167208
2022-12-06 20:20:00,0.00059233,0.00059239,0.00059221,0.00059239,0.2907,30.238651653565732
2022-12-06 20:25:00,0.00059309,0.00059309,0.00059231,0.00059242,0.0712,78.59599707499154
2022-12-06 20:30:00,0.00059284,0.00059284,0.00059259,0.00059259,0.1683,64.45701120535246
2022-12-06 20:35:00,0.00059354,0.00059354,0.00059288,0.00059288,0.1463,110.65912623607768
2022-12-06 20:40:00,0.00059457,0.00059464,0.00059355,0.00059355,32.3932,188.1961762260964
2022-12-06 20:45:00,0.00059469,0.00059469,0.00059452,0.00059457,15.2447,203.37383892116168
2022-12-06 20:50:00,0.00059454,0.00059458,0.00059454,0.00059458,0.2317,180.74074074073158
2022-12-06 20:55:00,0.0005937,0.00059448,0.0005937,0.00059448,3.8778,110.26589912281537
2022-12-06 21:00:00,0.00059352,0.00059352,0.00059352,0.00059352,0.04,55.330880754213844
2022-12-06 21:05:00,0.00059353,0.00059353,0.00059352,0.00059352,0.1975,47.20971483149462
